sample interval	     V5	     V2
            176	 -0.240	  0.740
            177	 -0.245	  0.775
            178	 -0.240	  0.825
            179	 -0.235	  0.850
            180	 -0.215	  0.905
            181	 -0.200	  0.945
            182	 -0.195	  0.970
            183	 -0.205	  1.005
            184	 -0.215	  1.045
            185	 -0.200	  1.070
            186	 -0.200	  1.125
            187	 -0.190	  1.170
            188	 -0.190	  1.195
            189	 -0.190	  1.235
            190	 -0.185	  1.250
            191	 -0.195	  1.305
            192	 -0.185	  1.355
            193	 -0.175	  1.400
            194	 -0.165	  1.435
            195	 -0.170	  1.465
            196	 -0.170	  1.505
            197	 -0.160	  1.550
            198	 -0.150	  1.605
            199	 -0.140	  1.650
            200	 -0.135	  1.680
            201	 -0.135	  1.710
            202	 -0.150	  1.730
            203	 -0.150	  1.780
            204	 -0.140	  1.830
            205	 -0.130	  1.865
            206	 -0.120	  1.890
            207	 -0.120	  1.900
            208	 -0.115	  1.920
            209	 -0.115	  1.930
            210	 -0.100	  1.950
            211	 -0.090	  1.975
            212	 -0.085	  1.955
            213	 -0.080	  1.960
            214	 -0.090	  1.955
            215	 -0.090	  1.940
            216	 -0.080	  1.945
            217	 -0.060	  1.925
            218	 -0.060	  1.895
            219	 -0.050	  1.855
            220	 -0.045	  1.820
            221	 -0.070	  1.780
            222	 -0.055	  1.760
            223	 -0.055	  1.715
            224	 -0.040	  1.655
            225	 -0.040	  1.605
            226	 -0.045	  1.535
            227	 -0.050	  1.470
            228	 -0.050	  1.430
            229	 -0.050	  1.360
            230	 -0.050	  1.300
            231	 -0.050	  1.235
            232	 -0.050	  1.155
            233	 -0.065	  1.085
            234	 -0.065	  1.030
            235	 -0.065	  0.980
            236	 -0.070	  0.910
            237	 -0.070	  0.835
            238	 -0.090	  0.760
            239	 -0.105	  0.715
            240	 -0.105	  0.655
            241	 -0.105	  0.615
            242	 -0.110	  0.555
            243	 -0.110	  0.495
            244	 -0.140	  0.445
            245	 -0.150	  0.400
            246	 -0.150	  0.365
            247	 -0.155	  0.325
            248	 -0.150	  0.275
            249	 -0.155	  0.235
            250	 -0.185	  0.185
            251	 -0.185	  0.160
            252	 -0.180	  0.150
            253	 -0.185	  0.135
            254	 -0.175	  0.100
            255	 -0.190	  0.075
            256	 -0.205	  0.045
            257	 -0.225	  0.020
            258	 -0.220	  0.030
            259	 -0.205	  0.020
            260	 -0.200	  0.000
            261	 -0.215	 -0.015
            262	 -0.225	 -0.020
            263	 -0.225	 -0.035
            264	 -0.230	 -0.035
            265	 -0.230	 -0.040
            266	 -0.225	 -0.050
            267	 -0.225	 -0.070
            268	 -0.230	 -0.070
            269	 -0.240	 -0.065
            270	 -0.245	 -0.070
            271	 -0.230	 -0.055
            272	 -0.235	 -0.070
            273	 -0.230	 -0.075
            274	 -0.245	 -0.080
            275	 -0.250	 -0.085
            276	 -0.230	 -0.070
            277	 -0.235	 -0.065
            278	 -0.230	 -0.070
            279	 -0.235	 -0.070
            280	 -0.250	 -0.080
            281	 -0.245	 -0.085
            282	 -0.245	 -0.075
            283	 -0.235	 -0.055
            284	 -0.240	 -0.060
            285	 -0.230	 -0.060
            286	 -0.235	 -0.065
            287	 -0.245	 -0.070
            288	 -0.235	 -0.060
            289	 -0.230	 -0.040
            290	 -0.225	 -0.035
            291	 -0.220	 -0.040
            292	 -0.220	 -0.040
            293	 -0.235	 -0.040
            294	 -0.230	 -0.040
            295	 -0.220	 -0.020
            296	 -0.205	 -0.020
            297	 -0.225	 -0.040
            298	 -0.230	 -0.030
            299	 -0.230	 -0.035
            300	 -0.230	 -0.015
            301	 -0.215	 -0.020
            302	 -0.215	 -0.020
            303	 -0.220	 -0.030
            304	 -0.235	 -0.025
            305	 -0.240	 -0.030
            306	 -0.235	 -0.035
            307	 -0.230	 -0.015
            308	 -0.225	 -0.020
            309	 -0.230	 -0.035
            310	 -0.250	 -0.045
            311	 -0.255	 -0.045
            312	 -0.245	 -0.035
            313	 -0.240	 -0.040
            314	 -0.240	 -0.045
            315	 -0.240	 -0.045
            316	 -0.255	 -0.060
            317	 -0.255	 -0.080
            318	 -0.260	 -0.065
            319	 -0.245	 -0.060
            320	 -0.245	 -0.065
            321	 -0.250	 -0.090
            322	 -0.265	 -0.095
            323	 -0.275	 -0.100
            324	 -0.270	 -0.095
            325	 -0.250	 -0.100
            326	 -0.255	 -0.105
            327	 -0.270	 -0.115
            328	 -0.275	 -0.135
            329	 -0.285	 -0.140
            330	 -0.285	 -0.135
            331	 -0.265	 -0.120
            332	 -0.275	 -0.135
            333	 -0.275	 -0.145
            334	 -0.280	 -0.155
            335	 -0.290	 -0.150
            336	 -0.275	 -0.150
            337	 -0.275	 -0.150
            338	 -0.265	 -0.155
            339	 -0.275	 -0.160
            340	 -0.290	 -0.170
            341	 -0.305	 -0.180
            342	 -0.300	 -0.170
            343	 -0.290	 -0.165
            344	 -0.285	 -0.180
            345	 -0.285	 -0.185
            346	 -0.295	 -0.190
            347	 -0.305	 -0.185
            348	 -0.290	 -0.185
            349	 -0.295	 -0.185
            350	 -0.275	 -0.195
            351	 -0.275	 -0.190
            352	 -0.305	 -0.205
            353	 -0.295	 -0.210
            354	 -0.300	 -0.205
            355	 -0.285	 -0.200
            356	 -0.280	 -0.210
            357	 -0.290	 -0.215
            358	 -0.305	 -0.220
            359	 -0.300	 -0.225
            360	 -0.305	 -0.215
            361	 -0.290	 -0.205
            362	 -0.295	 -0.220
            363	 -0.290	 -0.215
            364	 -0.305	 -0.235
            365	 -0.310	 -0.230
            366	 -0.310	 -0.220
            367	 -0.290	 -0.215
            368	 -0.290	 -0.215
            369	 -0.300	 -0.220
            370	 -0.295	 -0.225
            371	 -0.305	 -0.225
            372	 -0.300	 -0.220
            373	 -0.295	 -0.215
            374	 -0.290	 -0.220
            375	 -0.290	 -0.215
            376	 -0.295	 -0.245
            377	 -0.300	 -0.235
            378	 -0.285	 -0.230
            379	 -0.280	 -0.215
            380	 -0.285	 -0.230
            381	 -0.275	 -0.230
            382	 -0.305	 -0.245
            383	 -0.295	 -0.235
            384	 -0.290	 -0.230
            385	 -0.285	 -0.210
            386	 -0.280	 -0.215
            387	 -0.285	 -0.230
            388	 -0.300	 -0.230
            389	 -0.305	 -0.240
            390	 -0.305	 -0.220
            391	 -0.290	 -0.205
            392	 -0.290	 -0.205
            393	 -0.280	 -0.215
            394	 -0.285	 -0.210
            395	 -0.285	 -0.205
            396	 -0.275	 -0.170
            397	 -0.270	 -0.140
            398	 -0.260	 -0.135
            399	 -0.260	 -0.150
            400	 -0.255	 -0.130
            401	 -0.255	 -0.065
            402	 -0.230	  0.125
            403	 -0.190	  0.490
            404	 -0.155	  0.790
            405	 -0.100	  0.745
            406	  0.010	  0.495
            407	  0.240	  0.320
            408	  0.630	  0.245
            409	  0.915	  0.210
            410	  0.885	  0.140
            411	  0.595	  0.075
            412	  0.320	 -0.010
            413	  0.200	 -0.110
            414	  0.190	 -0.210
            415	  0.210	 -0.350
            416	  0.205	 -0.515
            417	  0.210	 -0.695
            418	  0.195	 -0.885
            419	  0.190	 -1.105
            420	  0.200	 -1.270
            421	  0.225	 -1.405
            422	  0.230	 -1.530
            423	  0.220	 -1.660
            424	  0.205	 -1.815
            425	  0.185	 -2.015
            426	  0.195	 -2.225
            427	  0.180	 -2.420
            428	  0.175	 -2.570
            429	  0.155	 -2.710
            430	  0.115	 -2.830
            431	  0.070	 -2.935
            432	  0.045	 -3.025
            433	  0.000	 -3.085
            434	 -0.040	 -3.125
            435	 -0.105	 -3.170
            436	 -0.155	 -3.205
            437	 -0.215	 -3.220
            438	 -0.280	 -3.240
            439	 -0.350	 -3.220
            440	 -0.405	 -3.230
            441	 -0.450	 -3.245
            442	 -0.440	 -3.240
            443	 -0.390	 -3.210
            444	 -0.330	 -3.170
            445	 -0.285	 -3.095
            446	 -0.280	 -2.990
            447	 -0.305	 -2.875
            448	 -0.325	 -2.755
            449	 -0.365	 -2.590
            450	 -0.360	 -2.390
            451	 -0.350	 -2.175
            452	 -0.335	 -1.940
            453	 -0.310	 -1.720
            454	 -0.290	 -1.480
            455	 -0.290	 -1.200
            456	 -0.290	 -0.960
            457	 -0.310	 -0.745
            458	 -0.320	 -0.540
            459	 -0.335	 -0.340
            460	 -0.340	 -0.140
            461	 -0.345	  0.030
            462	 -0.355	  0.190
            463	 -0.335	  0.355
            464	 -0.335	  0.460
            465	 -0.335	  0.550
            466	 -0.340	  0.635
            467	 -0.345	  0.675
            468	 -0.330	  0.745
            469	 -0.320	  0.795
            470	 -0.305	  0.840
            471	 -0.300	  0.885
            472	 -0.300	  0.920
            473	 -0.300	  0.960
            474	 -0.290	  1.010
            475	 -0.285	  1.050
            476	 -0.285	  1.085
            477	 -0.280	  1.110
            478	 -0.290	  1.140
            479	 -0.280	  1.185
            480	 -0.285	  1.230
            481	 -0.265	  1.275
            482	 -0.265	  1.300
            483	 -0.270	  1.320
            484	 -0.265	  1.350
            485	 -0.270	  1.400
            486	 -0.265	  1.435
            487	 -0.250	  1.490
            488	 -0.245	  1.515
            489	 -0.245	  1.550
            490	 -0.245	  1.570
            491	 -0.250	  1.625
            492	 -0.250	  1.665
            493	 -0.225	  1.700
            494	 -0.225	  1.735
            495	 -0.230	  1.760
            496	 -0.235	  1.785
            497	 -0.245	  1.830
            498	 -0.215	  1.860
            499	 -0.210	  1.900
            500	 -0.195	  1.920
            501	 -0.200	  1.925
            502	 -0.200	  1.935
            503	 -0.205	  1.960
            504	 -0.195	  1.965
            505	 -0.170	  1.985
            506	 -0.160	  1.980
            507	 -0.165	  1.960
            508	 -0.160	  1.935
            509	 -0.165	  1.925
            510	 -0.145	  1.915
            511	 -0.135	  1.895
            512	 -0.135	  1.860
            513	 -0.135	  1.810
            514	 -0.130	  1.760
            515	 -0.135	  1.725
            516	 -0.125	  1.675
            517	 -0.120	  1.630
            518	 -0.110	  1.555
            519	 -0.125	  1.490
            520	 -0.125	  1.420
            521	 -0.135	  1.350
            522	 -0.130	  1.300
            523	 -0.125	  1.235
            524	 -0.120	  1.160
            525	 -0.125	  1.065
            526	 -0.130	  1.000
            527	 -0.140	  0.930
            528	 -0.135	  0.875
            529	 -0.135	  0.830
            530	 -0.130	  0.760
            531	 -0.135	  0.690
            532	 -0.150	  0.635
            533	 -0.160	  0.575
            534	 -0.160	  0.540
            535	 -0.145	  0.495
            536	 -0.150	  0.445
            537	 -0.155	  0.400
            538	 -0.175	  0.340
            539	 -0.190	  0.295
            540	 -0.185	  0.280
            541	 -0.185	  0.245
            542	 -0.185	  0.205
            543	 -0.190	  0.170
            544	 -0.205	  0.140
            545	 -0.205	  0.115
            546	 -0.205	  0.110
            547	 -0.200	  0.095
            548	 -0.205	  0.065
            549	 -0.210	  0.045
            550	 -0.230	  0.030
            551	 -0.220	  0.025
            552	 -0.225	  0.015
            553	 -0.215	  0.020
            554	 -0.220	  0.005
            555	 -0.220	 -0.020
            556	 -0.230	 -0.035
            557	 -0.225	 -0.035
            558	 -0.220	 -0.040
            559	 -0.225	 -0.020
            560	 -0.230	 -0.040
            561	 -0.230	 -0.045
            562	 -0.235	 -0.050
            563	 -0.240	 -0.055
            564	 -0.225	 -0.045
            565	 -0.225	 -0.025
            566	 -0.225	 -0.035
            567	 -0.220	 -0.040
            568	 -0.225	 -0.050
            569	 -0.235	 -0.055
            570	 -0.225	 -0.035
            571	 -0.220	 -0.030
            572	 -0.210	 -0.025
            573	 -0.215	 -0.035
            574	 -0.230	 -0.035
            575	 -0.235	 -0.035
            576	 -0.225	 -0.030
            577	 -0.210	 -0.015
            578	 -0.210	 -0.020
            579	 -0.220	 -0.015
            580	 -0.220	 -0.030
            581	 -0.230	 -0.025
            582	 -0.225	 -0.005
            583	 -0.215	  0.005
            584	 -0.220	  0.000
            585	 -0.215	 -0.010
            586	 -0.230	 -0.015
            587	 -0.230	 -0.030
            588	 -0.220	 -0.025
            589	 -0.210	 -0.005
            590	 -0.215	  0.005
            591	 -0.215	 -0.020
            592	 -0.225	 -0.035
            593	 -0.225	 -0.035
            594	 -0.225	 -0.030
            595	 -0.215	 -0.025
            596	 -0.220	 -0.030
            597	 -0.235	 -0.040
            598	 -0.240	 -0.055
            599	 -0.235	 -0.060
            600	 -0.240	 -0.050
            601	 -0.230	 -0.045
            602	 -0.225	 -0.050
            603	 -0.230	 -0.070
            604	 -0.240	 -0.085
            605	 -0.245	 -0.085
            606	 -0.245	 -0.085
            607	 -0.240	 -0.075
            608	 -0.230	 -0.095
            609	 -0.240	 -0.110
            610	 -0.245	 -0.125
            611	 -0.250	 -0.115
            612	 -0.250	 -0.115
            613	 -0.245	 -0.115
            614	 -0.240	 -0.130
            615	 -0.240	 -0.145
            616	 -0.255	 -0.150
            617	 -0.270	 -0.145
            618	 -0.255	 -0.150
            619	 -0.255	 -0.135
            620	 -0.245	 -0.155
            621	 -0.255	 -0.165
            622	 -0.260	 -0.175
            623	 -0.270	 -0.180
            624	 -0.265	 -0.175
            625	 -0.265	 -0.165
            626	 -0.265	 -0.170
            627	 -0.255	 -0.190
            628	 -0.265	 -0.185
            629	 -0.270	 -0.195
            630	 -0.275	 -0.190
            631	 -0.260	 -0.185
            632	 -0.260	 -0.180
            633	 -0.265	 -0.200
            634	 -0.270	 -0.215
            635	 -0.270	 -0.215
            636	 -0.275	 -0.205
            637	 -0.260	 -0.210
            638	 -0.255	 -0.215
            639	 -0.265	 -0.215
            640	 -0.280	 -0.230
            641	 -0.290	 -0.215
            642	 -0.285	 -0.215
            643	 -0.270	 -0.210
            644	 -0.265	 -0.205
            645	 -0.270	 -0.220
            646	 -0.280	 -0.230
            647	 -0.290	 -0.235
            648	 -0.290	 -0.215
            649	 -0.275	 -0.215
            650	 -0.265	 -0.225
            651	 -0.270	 -0.230
            652	 -0.290	 -0.235
            653	 -0.280	 -0.235
            654	 -0.275	 -0.235
            655	 -0.260	 -0.230
            656	 -0.260	 -0.220
            657	 -0.270	 -0.240
            658	 -0.285	 -0.240
            659	 -0.285	 -0.245
            660	 -0.270	 -0.245
            661	 -0.265	 -0.230
            662	 -0.270	 -0.230
            663	 -0.265	 -0.240
            664	 -0.285	 -0.250
            665	 -0.285	 -0.245
            666	 -0.280	 -0.235
            667	 -0.265	 -0.225
            668	 -0.265	 -0.235
            669	 -0.270	 -0.245
            670	 -0.270	 -0.260
            671	 -0.270	 -0.260
            672	 -0.265	 -0.235
            673	 -0.265	 -0.240
            674	 -0.265	 -0.240
            675	 -0.270	 -0.255
            676	 -0.270	 -0.255
            677	 -0.280	 -0.245
            678	 -0.280	 -0.245
            679	 -0.260	 -0.230
            680	 -0.255	 -0.230
            681	 -0.255	 -0.235
            682	 -0.260	 -0.255
            683	 -0.265	 -0.235
            684	 -0.255	 -0.225
            685	 -0.245	 -0.205
            686	 -0.235	 -0.205
            687	 -0.240	 -0.185
            688	 -0.230	 -0.125
            689	 -0.235	  0.065
            690	 -0.195	  0.445
            691	 -0.150	  0.835
            692	 -0.120	  0.890
            693	 -0.035	  0.635
            694	  0.170	  0.350
            695	  0.515	  0.220
            696	  0.870	  0.175
            697	  0.870	  0.120
            698	  0.570	  0.035
            699	  0.275	 -0.050
            700	  0.155	 -0.160
            701	  0.150	 -0.300
            702	  0.175	 -0.435
            703	  0.180	 -0.610
            704	  0.175	 -0.790
            705	  0.160	 -1.015
            706	  0.160	 -1.225
            707	  0.160	 -1.380
            708	  0.170	 -1.520
            709	  0.165	 -1.625
            710	  0.155	 -1.785
            711	  0.135	 -1.980
            712	  0.115	 -2.200
            713	  0.115	 -2.400
            714	  0.120	 -2.560
            715	  0.110	 -2.670
            716	  0.090	 -2.770
            717	  0.040	 -2.885
            718	  0.000	 -3.005
            719	 -0.060	 -3.090
            720	 -0.110	 -3.115
            721	 -0.160	 -3.150
            722	 -0.205	 -3.185
            723	 -0.270	 -3.215
            724	 -0.335	 -3.245
            725	 -0.425	 -3.250
            726	 -0.505	 -3.240
            727	 -0.530	 -3.245
            728	 -0.520	 -3.255
            729	 -0.480	 -3.250
            730	 -0.445	 -3.245
            731	 -0.405	 -3.220
            732	 -0.375	 -3.160
            733	 -0.345	 -3.080
            734	 -0.335	 -2.985
            735	 -0.340	 -2.870
            736	 -0.330	 -2.740
            737	 -0.320	 -2.545
            738	 -0.295	 -2.350
            739	 -0.270	 -2.090
            740	 -0.255	 -1.815
            741	 -0.225	 -1.540
            742	 -0.220	 -1.275
            743	 -0.225	 -1.000
            744	 -0.255	 -0.765
            745	 -0.270	 -0.530
            746	 -0.290	 -0.315
            747	 -0.305	 -0.125
            748	 -0.310	  0.055
            749	 -0.325	  0.250
            750	 -0.320	  0.400
            751	 -0.310	  0.525
            752	 -0.290	  0.610
            753	 -0.295	  0.655
            754	 -0.305	  0.700
            755	 -0.315	  0.750
            756	 -0.305	  0.800
            757	 -0.305	  0.840
            758	 -0.300	  0.880
            759	 -0.300	  0.905
            760	 -0.305	  0.920
            761	 -0.315	  0.960
            762	 -0.305	  0.995
            763	 -0.295	  1.030
            764	 -0.295	  1.045
            765	 -0.310	  1.080
            766	 -0.315	  1.090
            767	 -0.315	  1.135
            768	 -0.320	  1.170
            769	 -0.305	  1.195
            770	 -0.300	  1.215
            771	 -0.315	  1.265
            772	 -0.310	  1.270
            773	 -0.315	  1.325
            774	 -0.305	  1.355
            775	 -0.295	  1.400
            776	 -0.290	  1.430
            777	 -0.300	  1.460
            778	 -0.300	  1.485
            779	 -0.295	  1.525
            780	 -0.295	  1.570
            781	 -0.275	  1.620
            782	 -0.260	  1.640
            783	 -0.280	  1.670
            784	 -0.280	  1.700
            785	 -0.270	  1.740
            786	 -0.260	  1.775
            787	 -0.255	  1.825
            788	 -0.245	  1.855
            789	 -0.240	  1.875
            790	 -0.245	  1.880
            791	 -0.245	  1.910
            792	 -0.235	  1.940
            793	 -0.205	  1.955
            794	 -0.210	  1.970
            795	 -0.200	  1.955
            796	 -0.210	  1.960
            797	 -0.205	  1.955
            798	 -0.180	  1.970
            799	 -0.165	  1.945
            800	 -0.155	  1.935
            801	 -0.155	  1.905
            802	 -0.155	  1.860
            803	 -0.155	  1.830
            804	 -0.140	  1.800
            805	 -0.135	  1.775
            806	 -0.115	  1.720
            807	 -0.125	  1.650
            808	 -0.125	  1.590
            809	 -0.135	  1.525
            810	 -0.120	  1.470
            811	 -0.125	  1.420
            812	 -0.110	  1.340
            813	 -0.115	  1.250
            814	 -0.130	  1.185
            815	 -0.135	  1.120
            816	 -0.130	  1.050
            817	 -0.115	  0.990
            818	 -0.125	  0.915
            819	 -0.115	  0.840
            820	 -0.120	  0.770
            821	 -0.140	  0.705
            822	 -0.125	  0.660
            823	 -0.130	  0.610
            824	 -0.125	  0.550
            825	 -0.135	  0.490
            826	 -0.145	  0.440
            827	 -0.150	  0.385
            828	 -0.150	  0.355
            829	 -0.145	  0.325
            830	 -0.150	  0.280
            831	 -0.175	  0.245
            832	 -0.180	  0.200
            833	 -0.200	  0.185
            834	 -0.190	  0.155
            835	 -0.190	  0.145
            836	 -0.185	  0.130
            837	 -0.200	  0.110
            838	 -0.210	  0.080
            839	 -0.220	  0.065
            840	 -0.210	  0.065
            841	 -0.210	  0.055
            842	 -0.225	  0.050
            843	 -0.225	  0.025
            844	 -0.230	  0.010
            845	 -0.235	 -0.005
            846	 -0.225	  0.005
            847	 -0.225	  0.010
            848	 -0.220	  0.005
            849	 -0.225	  0.005
            850	 -0.245	 -0.005
            851	 -0.250	  0.000
            852	 -0.240	  0.000
            853	 -0.235	  0.005
            854	 -0.230	  0.000
            855	 -0.225	 -0.005
            856	 -0.240	 -0.020
            857	 -0.240	 -0.010
            858	 -0.235	 -0.005
            859	 -0.240	  0.000
            860	 -0.235	  0.005
            861	 -0.245	 -0.010
            862	 -0.255	 -0.010
            863	 -0.260	 -0.010
            864	 -0.255	  0.000
            865	 -0.245	  0.000
            866	 -0.255	 -0.005
            867	 -0.255	 -0.015
            868	 -0.255	 -0.010
            869	 -0.260	 -0.015
            870	 -0.255	 -0.015
            871	 -0.240	 -0.005
            872	 -0.240	 -0.010
            873	 -0.245	 -0.020
            874	 -0.265	 -0.025
            875	 -0.285	 -0.040
            876	 -0.280	 -0.025
            877	 -0.275	 -0.015
            878	 -0.255	 -0.020
            879	 -0.245	 -0.050
            880	 -0.250	 -0.065
            881	 -0.265	 -0.060
            882	 -0.250	 -0.060
            883	 -0.250	 -0.055
            884	 -0.250	 -0.055
            885	 -0.255	 -0.075
            886	 -0.275	 -0.100
            887	 -0.290	 -0.100
            888	 -0.285	 -0.085
            889	 -0.290	 -0.090
            890	 -0.270	 -0.105
            891	 -0.275	 -0.110
            892	 -0.280	 -0.120
            893	 -0.285	 -0.125
            894	 -0.285	 -0.115
            895	 -0.290	 -0.125
            896	 -0.285	 -0.120
            897	 -0.300	 -0.125
            898	 -0.295	 -0.140
            899	 -0.300	 -0.160
            900	 -0.290	 -0.145
            901	 -0.290	 -0.160
            902	 -0.275	 -0.155
            903	 -0.285	 -0.175
            904	 -0.310	 -0.180
            905	 -0.305	 -0.180
            906	 -0.310	 -0.175
            907	 -0.305	 -0.165
            908	 -0.300	 -0.180
            909	 -0.305	 -0.185
            910	 -0.305	 -0.205
            911	 -0.315	 -0.205
            912	 -0.300	 -0.190
            913	 -0.295	 -0.195
            914	 -0.295	 -0.200
            915	 -0.295	 -0.210
            916	 -0.310	 -0.220
            917	 -0.330	 -0.205
            918	 -0.305	 -0.205
            919	 -0.300	 -0.200
            920	 -0.290	 -0.215
            921	 -0.290	 -0.215
            922	 -0.300	 -0.230
            923	 -0.310	 -0.230
            924	 -0.305	 -0.220
            925	 -0.300	 -0.215
            926	 -0.295	 -0.215
            927	 -0.300	 -0.235
            928	 -0.305	 -0.250
            929	 -0.315	 -0.245
            930	 -0.300	 -0.235
            931	 -0.305	 -0.235
            932	 -0.300	 -0.230
            933	 -0.290	 -0.240
            934	 -0.305	 -0.255
            935	 -0.315	 -0.245
            936	 -0.305	 -0.245
            937	 -0.305	 -0.240
            938	 -0.295	 -0.250
            939	 -0.295	 -0.250
            940	 -0.305	 -0.265
            941	 -0.305	 -0.255
            942	 -0.295	 -0.240
            943	 -0.305	 -0.240
            944	 -0.295	 -0.255
            945	 -0.295	 -0.255
            946	 -0.315	 -0.275
            947	 -0.310	 -0.260
            948	 -0.315	 -0.250
            949	 -0.300	 -0.240
            950	 -0.295	 -0.240
            951	 -0.305	 -0.255
            952	 -0.310	 -0.275
            953	 -0.320	 -0.265
            954	 -0.310	 -0.255
            955	 -0.300	 -0.260
            956	 -0.285	 -0.250
            957	 -0.280	 -0.255
