sample interval	     V5	     V2
            258	 -0.185	  0.250
            259	 -0.195	  0.245
            260	 -0.210	  0.230
            261	 -0.205	  0.245
            262	 -0.200	  0.260
            263	 -0.200	  0.245
            264	 -0.205	  0.240
            265	 -0.220	  0.225
            266	 -0.240	  0.230
            267	 -0.230	  0.235
            268	 -0.220	  0.240
            269	 -0.215	  0.240
            270	 -0.225	  0.240
            271	 -0.225	  0.230
            272	 -0.245	  0.220
            273	 -0.235	  0.230
            274	 -0.230	  0.230
            275	 -0.215	  0.225
            276	 -0.215	  0.235
            277	 -0.235	  0.205
            278	 -0.245	  0.210
            279	 -0.235	  0.220
            280	 -0.230	  0.225
            281	 -0.225	  0.225
            282	 -0.235	  0.230
            283	 -0.250	  0.210
            284	 -0.260	  0.205
            285	 -0.250	  0.215
            286	 -0.245	  0.215
            287	 -0.230	  0.235
            288	 -0.245	  0.210
            289	 -0.250	  0.205
            290	 -0.250	  0.195
            291	 -0.255	  0.215
            292	 -0.250	  0.220
            293	 -0.245	  0.220
            294	 -0.260	  0.200
            295	 -0.250	  0.200
            296	 -0.280	  0.205
            297	 -0.260	  0.210
            298	 -0.255	  0.215
            299	 -0.255	  0.220
            300	 -0.255	  0.220
            301	 -0.250	  0.215
            302	 -0.270	  0.195
            303	 -0.260	  0.215
            304	 -0.255	  0.225
            305	 -0.240	  0.225
            306	 -0.235	  0.220
            307	 -0.230	  0.215
            308	 -0.210	  0.215
            309	 -0.205	  0.230
            310	 -0.135	  0.245
            311	 -0.040	  0.275
            312	  0.205	  0.315
            313	  0.630	  0.415
            314	  0.845	  0.695
            315	  0.630	  1.000
            316	  0.260	  0.980
            317	  0.060	  0.710
            318	  0.045	  0.495
            319	  0.050	  0.420
            320	  0.030	  0.415
            321	  0.005	  0.410
            322	 -0.010	  0.380
            323	 -0.040	  0.370
            324	 -0.035	  0.365
            325	 -0.040	  0.340
            326	 -0.050	  0.320
            327	 -0.045	  0.320
            328	 -0.060	  0.310
            329	 -0.055	  0.280
            330	 -0.070	  0.255
            331	 -0.090	  0.210
            332	 -0.115	  0.200
            333	 -0.120	  0.185
            334	 -0.130	  0.190
            335	 -0.135	  0.160
            336	 -0.170	  0.145
            337	 -0.220	  0.120
            338	 -0.265	  0.105
            339	 -0.300	  0.090
            340	 -0.330	  0.080
            341	 -0.350	  0.045
            342	 -0.400	  0.030
            343	 -0.465	  0.000
            344	 -0.565	 -0.015
            345	 -0.630	 -0.025
            346	 -0.670	 -0.045
            347	 -0.710	 -0.040
            348	 -0.750	 -0.055
            349	 -0.810	 -0.085
            350	 -0.870	 -0.110
            351	 -0.905	 -0.130
            352	 -0.920	 -0.150
            353	 -0.925	 -0.195
            354	 -0.930	 -0.260
            355	 -0.935	 -0.295
            356	 -0.945	 -0.335
            357	 -0.935	 -0.340
            358	 -0.915	 -0.355
            359	 -0.905	 -0.395
